"year","avg_vol"
2002,0.00279412332421509
2003,0.00872155931420658
2004,0.00215872199935614
2005,0.030766932457466
2006,0.00179698252235137
2007,0.00188375723675094
2008,0.0168598976508831
2009,0.00944021722730714
2010,0.000278075433375661
2011,0.000149099753628983
2012,0.000422884017937273
2013,0.000101637459814638
2014,1.10925296304558e-05
2015,5.63106797973942e-06
2016,0.00107905669290617
2017,0.00306321550559746
2018,8.18311772288795e-05
2019,1.48245042717342e-05
2020,0.00459207666832629
2002,0.000456559488475793
2003,0.00043985665456872
2004,0.000479304099606042
2005,0.000477573282068644
2006,0.000440747012640266
2007,0.000399816825945324
2008,0.000476707433852683
2009,0.000712555518821251
2010,0.000665154620158926
2011,0.000636882019860545
2012,0.000564643267547777
2013,0.000511943918615477
2014,0.000372129804151121
2015,0.000493162940578978
2016,0.000443553868517312
2017,0.000415418371748446
2018,0.000351995405834462
2019,0.000259577447881424
2020,0.000234705975905982
